id,name,category,price,stock,rating,created_at
69,Heater,Home Appliances,55.00,150,4.5,2025-08-25T14:00:00Z
70,Air Conditioner,Home Appliances,350.00,50,4.8,2025-09-03T16:00:00Z
71,Picture Frame,Home Decor,15.00,300,4.4,2025-08-20T10:00:00Z
72,Vase,Home Decor,25.00,150,4.6,2025-08-22T11:00:00Z
73,Candle,Home Decor,10.00,400,4.7,2025-09-01T13:00:00Z
74,Wall Art,Home Decor,50.00,100,4.5,2025-08-28T15:00:00Z
75,Blanket,Home Decor,30.00,250,4.8,2025-09-05T10:00:00Z
76,Mirror,Home Decor,80.00,70,4.2,2025-08-18T10:00:00Z
77,Rug,Home Decor,120.00,60,4.9,2025-08-15T14:00:00Z
78,Curtains,Home Decor,45.00,120,4.5,2025-09-02T12:00:00Z
79,Tablecloth,Home Decor,20.00,200,4.3,2025-08-25T10:00:00Z
80,Cushion,Home Decor,18.00,350,4.6,2025-09-01T11:00:00Z
81,Fitness Tracker,Electronics,90.00,150,4.7,2025-09-04T12:00:00Z
82,Smartwatch,Electronics,200.00,100,4.8,2025-09-06T14:00:00Z
83,Drone,Electronics,350.00,50,4.5,2025-08-20T15:00:00Z
84,Digital Camera,Electronics,500.00,40,4.9,2025-09-01T16:00:00Z
85,Gaming Console,Electronics,400.00,30,4.7,2025-08-25T17:00:00Z
86,VR Headset,Electronics,300.00,25,4.6,2025-08-28T10:00:00Z
87,E-reader,Electronics,120.00,80,4.8,2025-09-01T11:00:00Z
88,Power Bank,Electronics,25.00,300,4.5,2025-09-03T12:00:00Z
89,Projector,Electronics,150.00,50,4.3,2025-08-22T13:00:00Z
90,Router,Electronics,70.00,100,4.6,2025-09-05T14:00:00Z
91,Hard Drive,Electronics,80.00,120,4.7,2025-09-06T15:00:00Z
92,SSD,Electronics,100.00,90,4.8,2025-09-07T16:00:00Z
93,USB Drive,Electronics,10.00,500,4.5,2025-09-01T10:00:00Z
94,SD Card,Electronics,15.00,400,4.6,2025-08-25T11:00:00Z
95,Microphone,Electronics,40.00,150,4.7,2025-09-02T12:00:00Z
96,Webcam,Electronics,35.00,200,4.3,2025-09-07T09:00:00Z
97,Tripod,Electronics,25.00,250,4.4,2025-09-03T10:00:00Z
98,Camera Lens,Electronics,200.00,30,4.9,2025-08-20T11:00:00Z
99,Gaming Keyboard,Electronics,90.00,80,4.8,2025-09-05T12:00:00Z
100,Gaming Mouse,Electronics,60.00,100,4.7,2025-09-06T13:00:00Z
